Provinsi/Kabupaten/Kota,
,[Metode Baru] Indeks Pembangunan Manusia
,2018
ACEH,71.19
Simeulue,64.74
Aceh Singkil,68.02
Aceh Selatan,65.92
Aceh Tenggara,68.67
Aceh Timur,66.82
Aceh Tengah,72.64
Aceh Barat,70.47
Aceh Besar,72.73
Pidie,69.93
Bireuen,71.37
Aceh Utara,68.36
Aceh Barat Daya,65.67
Gayo Lues,65.88
Aceh Tamiang,68.45
Nagan Raya,68.15
Aceh Jaya,68.83
Bener Meriah,72.14
Pidie Jaya,72.12
Kota Banda Aceh,84.37
Kota Sabang,74.82
Kota Langsa,76.34
Kota Lhokseumawe,76.62
Kota Subulussalam,63.48
SUMATERA UTARA,71.18
Nias,60.82
Mandailing Natal,65.83
Tapanuli Selatan,69.1
Tapanuli Tengah,68.27
Tapanuli Utara,72.91
Toba Samosir / Toba,74.48
Labuhan Batu,71.39
Asahan,69.49
Simalungun,72.49
Dairi,70.89
Karo,73.91
Deli Serdang,74.92
Langkat,70.27
Nias Selatan,60.75
Humbang Hasundutan,67.96
Pakpak Bharat,66.63
Samosir,69.99
Serdang Bedagai,69.69
Batu Bara,67.67
Padang Lawas Utara,68.77
Padang Lawas,67.59
Labuhan Batu Selatan,70.98
Labuhan Batu Utara,71.08
Nias Utara,61.08
Nias Barat,60.42
Kota Sibolga,72.65
Kota Tanjung Balai,68
Kota Pematang Siantar,77.88
Kota Tebing Tinggi,74.5
Kota Medan,80.65
Kota Binjai,75.21
Kota Padangsidimpuan,74.38
Kota Gunungsitoli,68.33
SUMATERA BARAT,71.73
Kepulauan Mentawai,60.28
Pesisir Selatan,69.4
Solok,68.6
Sijunjung,66.97
Tanah Datar,71.25
Padang Pariaman,69.71
Agam,71.7
Lima Puluh Kota,69.17
Pasaman,65.6
Solok Selatan,68.45
Dharmasraya,70.86
Pasaman Barat,67.43
Kota Padang,82.25
Kota Solok,77.89
Kota Sawah Lunto,71.72
Kota Padang Panjang,77.3
Kota Bukittinggi,80.11
Kota Payakumbuh,78.23
Kota Pariaman,76.26
RIAU,72.44
Kuantan Singingi,69.96
Indragiri Hulu,69.66
Indragiri Hilir,66.51
Pelalawan,71.44
Siak,73.73
Kampar,72.5
Rokan Hulu,69.36
Bengkalis,72.94
Rokan Hilir,68.73
Kepulauan Meranti,65.23
Kota Pekanbaru,80.66
Kota Dumai,74.06
JAMBI,70.65
Kerinci,70.59
Merangin,68.81
Sarolangun,69.41
Batang Hari,69.33
Muaro Jambi,68.34
Tanjung Jabung Timur,63.32
Tanjung Jabung Barat,67.13
Tebo,68.67
Bungo,69.42
Kota Jambi,77.41
Kota Sungai Penuh,74.67
SUMATERA SELATAN,69.39
Ogan Komering Ulu,69.01
Ogan Komering Ilir,66.57
Muara Enim,68.28
Lahat,66.99
Musi Rawas,66.18
Musi Banyuasin,67.57
Banyu Asin,66.4
Ogan Komering Ulu Selatan,64.84
Ogan Komering Ulu Timur,68.58
Ogan Ilir,66.43
Empat Lawang,64.81
Penukal Abab Lematang Ilir,63.49
Musi Rawas Utara,63.75
Kota Palembang,77.89
Kota Prabumulih,74.04
Kota Pagar Alam,67.62
Kota Lubuklinggau,74.09
BENGKULU,70.64
Bengkulu Selatan,69.85
Rejang Lebong,69.4
Bengkulu Utara,68.36
Kaur,66.2
Seluma,65.99
Mukomuko,67.47
Lebong,66.28
Kepahiang,67.14
Bengkulu Tengah,66.65
Kota Bengkulu,79.67
LAMPUNG,69.02
Lampung Barat,66.74
Tanggamus,65.67
Lampung Selatan,67.68
Lampung Timur,69.04
Lampung Tengah,69.73
Lampung Utara,67.17
Way Kanan,66.63
Tulangbawang,67.7
Pesawaran,64.97
Pringsewu,69.42
Mesuji,62.88
Tulang Bawang Barat,65.3
Pesisir Barat,62.96
Kota Bandar Lampung,76.63
Kota Metro,76.22
KEP. BANGKA BELITUNG,70.67
Bangka,71.8
Belitung,71.7
Bangka Barat,68.68
Bangka Tengah,69.52
Bangka Selatan,65.98
Belitung Timur,70.22
Kota Pangkal Pinang,77.43
KEPULAUAN RIAU,74.84
Karimun,70.56
Bintan,73.41
Natuna,72.1
Lingga,64.06
Kepulauan Anambas,67.53
Kota Batam,80.54
Kota Tanjung Pinang,78.33
DKI JAKARTA,80.47
Kep. Seribu,70.91
Kota Jakarta Selatan,84.44
Kota Jakarta Timur,82.06
Kota Jakarta Pusat,81.01
Kota Jakarta Barat,80.88
Kota Jakarta Utara,79.87
JAWA BARAT,71.3
Bogor,69.69
Sukabumi,66.05
Cianjur,64.62
Bandung,71.75
Garut,65.42
Tasikmalaya,65
Ciamis,69.63
Kuningan,68.55
Cirebon,68.05
Majalengka,66.72
Sumedang,70.99
Indramayu,66.36
Subang,68.31
Purwakarta,69.98
Karawang,69.89
Bekasi,73.49
