Provinsi,
,Jumlah Penduduk menurut Provinsi (Ribu Jiwa)
,2021
Aceh,5333.73
Sumatera Utara,14936.15
Sumatera Barat,5580.23
Riau,6493.6
Jambi,3585.12
Sumatera Selatan,8550.85
Bengkulu,2032.94
Lampung,9081.79
Kep. Bangka Belitung,1473.16
Kepulauan Riau,2118.24
DKI Jakarta,10609.68
Jawa Barat,48782.4
Jawa Tengah,36742.5
DI Yogyakarta,3712.9
Jawa Timur,40878.79
Banten,12061.48
Bali,4362.74
Nusa Tenggara Barat,5390
Nusa Tenggara Timur,5387.74
Kalimantan Barat,5470.8
Kalimantan Tengah,2702.17
Kalimantan Selatan,4122.58
Kalimantan Timur,3808.24
Kalimantan Utara,713.62
Sulawesi Utara,2638.63
Sulawesi Tengah,3021.88
Sulawesi Selatan,9139.53
Sulawesi Tenggara,2659.16
Gorontalo,1180.95
Sulawesi Barat,1436.84
Maluku,1862.63
Maluku Utara,1299.18
Papua Barat,1156.84
Papua Barat Daya,-
Papua,4355.44
Papua Selatan,-
Papua Tengah,-
Papua Pegunungan,-
Indonesia,272682.52
