Province/Regency/City,
,[New Method] Life Expectancy at Birth (Year)
,2016
ACEH,69.51
Simeulue,64.78
Aceh Singkil,67.02
Aceh Selatan,63.75
Aceh Tenggara,67.51
Aceh Timur,68.26
Aceh Tengah,68.48
Aceh Barat,67.56
Aceh Besar,69.49
Pidie,66.52
Bireuen,70.72
Aceh Utara,68.51
Aceh Barat Daya,64.35
Gayo Lues,64.88
Aceh Tamiang,69.08
Nagan Raya,68.67
Aceh Jaya,66.7
Bener Meriah,68.85
Pidie Jaya,69.59
Kota Banda Aceh,70.92
Kota Sabang,70.01
Kota Langsa,69
Kota Lhokseumawe,71.05
Kota Subulussalam,63.42
SUMATERA UTARA,68.33
Nias,69.07
Mandailing Natal,61.77
Tapanuli Selatan,64.01
Tapanuli Tengah,66.62
Tapanuli Utara,67.71
Toba Samosir / Toba,69.25
Labuhan Batu,69.4
Asahan,67.47
Simalungun,70.43
Dairi,67.95
Karo,70.69
Deli Serdang,71.06
Langkat,67.79
Nias Selatan,67.83
Humbang Hasundutan,68.26
Pakpak Bharat,64.95
Samosir,70.47
Serdang Bedagai,67.63
Batu Bara,65.95
Padang Lawas Utara,66.54
Padang Lawas,66.4
Labuhan Batu Selatan,68.11
Labuhan Batu Utara,68.8
Nias Utara,68.68
Nias Barat,68.1
Kota Sibolga,67.87
Kota Tanjung Balai,62.09
Kota Pematang Siantar,72.46
Kota Tebing Tinggi,70.21
Kota Medan,72.34
Kota Binjai,71.67
Kota Padangsidimpuan,68.37
Kota Gunungsitoli,70.36
SUMATERA BARAT,68.73
Kepulauan Mentawai,64.36
Pesisir Selatan,70.11
Solok,67.5
Sijunjung,65.33
Tanah Datar,68.93
Padang Pariaman,67.8
Agam,71.44
Lima Puluh Kota,69.27
Pasaman,66.4
Solok Selatan,66.78
Dharmasraya,70.3
Pasaman Barat,67.09
Kota Padang,73.19
Kota Solok,72.83
Kota Sawah Lunto,69.33
Kota Padang Panjang,72.45
Kota Bukittinggi,73.6
Kota Payakumbuh,73.03
Kota Pariaman,69.63
RIAU,70.97
Kuantan Singingi,67.92
Indragiri Hulu,69.79
Indragiri Hilir,66.95
Pelalawan,70.39
Siak,70.59
Kampar,70.08
Rokan Hulu,69.17
Bengkalis,70.63
Rokan Hilir,69.57
Kepulauan Meranti,66.85
Kota Pekanbaru,71.7
Kota Dumai,70.31
JAMBI,70.71
Kerinci,69.41
Merangin,70.93
Sarolangun,68.8
Batang Hari,70.03
Muaro Jambi,70.86
Tanjung Jabung Timur,65.56
Tanjung Jabung Barat,67.71
Tebo,69.66
Bungo,67.18
Kota Jambi,72.32
Kota Sungai Penuh,71.66
SUMATERA SELATAN,69.16
Ogan Komering Ulu,67.65
Ogan Komering Ilir,68.02
Muara Enim,68.07
Lahat,65.06
Musi Rawas,67.26
Musi Banyuasin,68.11
Banyu Asin,68.33
Ogan Komering Ulu Selatan,66.16
Ogan Komering Ulu Timur,68.31
Ogan Ilir,64.65
Empat Lawang,64.25
Penukal Abab Lematang Ilir,67.68
Musi Rawas Utara,64.94
Kota Palembang,70.05
Kota Prabumulih,69.63
Kota Pagar Alam,65.78
Kota Lubuklinggau,68.61
BENGKULU,68.56
Bengkulu Selatan,67.2
Rejang Lebong,67.58
Bengkulu Utara,67.4
Kaur,65.84
Seluma,66.77
Mukomuko,65.88
Lebong,62.39
Kepahiang,67.03
Bengkulu Tengah,67.63
Kota Bengkulu,69.49
LAMPUNG,69.94
Lampung Barat,66.64
Tanggamus,67.61
Lampung Selatan,68.49
Lampung Timur,69.92
Lampung Tengah,69.15
Lampung Utara,68.3
Way Kanan,68.58
Tulangbawang,69.28
Pesawaran,68.05
Pringsewu,68.88
Mesuji,67.32
Tulang Bawang Barat,69.21
Pesisir Barat,62.29
Kota Bandar Lampung,70.75
Kota Metro,71.05
KEP. BANGKA BELITUNG,69.92
Bangka,70.52
Belitung,70.38
Bangka Barat,69.52
Bangka Tengah,70.38
Bangka Selatan,66.99
Belitung Timur,71.3
Kota Pangkal Pinang,72.57
KEPULAUAN RIAU,69.45
Karimun,70.02
Bintan,70.02
Natuna,63.99
Lingga,60.44
Kepulauan Anambas,66.54
Kota Batam,73.09
Kota Tanjung Pinang,71.74
DKI JAKARTA,72.49
Kep. Seribu,67.88
Kota Jakarta Selatan,73.83
Kota Jakarta Timur,74.14
Kota Jakarta Pusat,73.76
Kota Jakarta Barat,73.34
Kota Jakarta Utara,72.95
JAWA BARAT,72.44
Bogor,70.65
Sukabumi,70.14
Cianjur,69.39
Bandung,73.1
Garut,70.76
Tasikmalaya,68.54
Ciamis,70.9
Kuningan,72.76
Cirebon,71.43
Majalengka,69.22
Sumedang,71.96
Indramayu,70.72
Subang,71.61
Purwakarta,70.34
Karawang,71.6
Bekasi,73.24
Bandung Barat,71.82
Pangandaran,70.4
Kota Bogor,72.95
