id,provinsi,Kabupaten/Kota,2019,2021,2022,2023,2024
"11,01",Aceh,Aceh Selatan,31.15,"27,3",34.8,40.2,34.2
"11,02",Aceh,Aceh Tenggara,42.83,"34,1",36.7,32.9,30.9
"11,03",Aceh,Aceh Timur,25.5,"38,2",33.6,29.7,36.7
"11,04",Aceh,Aceh Tengah,42.87,"34,3",32.0,23.6,31.4
"11,05",Aceh,Aceh Barat,40.79,"27,4",30.4,33.4,25.6
"11,06",Aceh,Aceh Besar,43.36,"32,4",27.0,30.1,32.3
"11,07",Aceh,Pidie,27.87,"39,3",27.8,29.5,32.6
"11,08",Aceh,Aceh Utara,42.64,"38,8",38.3,25.2,19.2
"11,09",Aceh,Simeulue,28.21,"25,9",37.2,30.7,25.5
"11,1",Aceh,Aceh Singkil,37.28,"29,6",34.0,34.1,34.2
"11,11",Aceh,Bireuen,32.88,"24,3",23.4,32.9,27.1
"11,12",Aceh,Aceh Barat Daya,34.03,"33,2",35.2,27.9,36.2
"11,13",Aceh,Gayo Lues,29.16,"42,9",34.6,15.4,20.6
"11,14",Aceh,Aceh Jaya,44.82,"33,7",19.9,34.0,31.0
"11,15",Aceh,Nagan Raya,26.46,"32,5",28.8,31.6,35.5
"11,16",Aceh,Aceh Tamiang,38.68,"30,8",27.4,35.9,27.4
"11,17",Aceh,Bener Meriah,28.15,40,37.0,32.2,32.8
"11,18",Aceh,Pidie Jaya,26.49,29,37.8,29.4,31.6
"11,71",Aceh,Kota Banda Aceh,27.86,"23,4",25.1,21.7,23.7
"11,72",Aceh,Kota Sabang,30.59,"23,8",23.4,25.6,23.4
"11,73",Aceh,Kota Lhokseumawe,18.75,"27,4",28.1,20.7,20.8
"11,74",Aceh,Kota Langsa,35.44,"25,5",22.1,25.6,15.6
"11,75",Aceh,Kota Subulussalam,41.81,"41,8",47.9,29.6,27.5
"12,01",Sumatera Utara,Tapanuli Tengah,36.32,"25,3",30.5,23.8,32.3
"12,02",Sumatera Utara,Tapanuli Utara,42.19,"26,7",27.4,27.4,32.5
