Provinsi;2019;2020;2021;2022;2023;2024
Aceh;"34,18";"33,01";"33,2";"31,2";"29,4";"28,6"
Sumatera Utara;"30,11";"28,7";"25,8";"21,1";"18,9";22
Sumatera Barat;"27,47";"26,71";"23,3";35;"23,6";"24,9"
Riau;"23,95";"22,43";"22,3";17;"13,6";"20,1"
Jambi;"21,03";"19,59";"22,4";18;"13,5";"17,1"
Sumatera Selatan;"28,98";"28,68";"24,8";"27,2";"20,2";"15,9"
Bengkulu;"26,86";"25,43";"22,1";"19,8";"20,2";"18,8"
Lampung;"26,26";"24,4";"18,5";"15,2";"14,9";"15,9"
Kepulauan Bangka Belitung;"19,93";"20,94";"18,6";"18,5";"20,6";"20,1"
Kepulauan Riau;"16,82";"13,72";"17,6";"15,4";"16,8";15
DKI Jakarta;"19,96";"19,24";"16,8";"14,8";"17,6";"17,3"
Jawa Barat;"26,21";"25,55";"24,5";"20,2";"21,7";"15,9"
Jawa Tengah;"27,68";"26,9";"20,9";"20,8";"20,7";"17,1"
DI Yogyakarta;"21,04";"19,88";"17,3";"16,4";18;"17,4"
Jawa Timur;"26,86";"25,64";"23,5";"19,2";"17,7";"14,7"
Banten;"24,11";"21,84";"24,5";20;24;"21,1"
Bali;"14,42";"13,68";"10,9";8;"7,2";"8,7"
Nusa Tenggara Barat;"37,85";"38,15";"31,4";"32,7";"24,6";"29,8"
Nusa Tenggara Timur;"43,82";"42,99";"37,8";"35,4";"37,9";37
Kalimantan Barat;"31,46";"30,9";"29,8";"25,2";"24,5";"26,8"
Kalimantan Tengah;"32,3";"30,48";"27,4";"26,9";"23,5";"22,1"
Kalimantan Selatan;"31,75";"30,93";30;"24,6";"24,7";"22,9"
Kalimantan Timur;"28,09";"27,49";"22,8";"23,9";"22,9";"22,2"
Kalimantan Utara;"26,25";"25,76";"27,5";"22,1";"21,3";"17,6"
Sulawesi Utara;"21,18";"19,73";"21,6";"20,5";"21,3";"20,8"
Sulawesi Tengah;"31,16";"29,66";"29,7";"28,2";"27,2";"26,1"
Sulawesi Selatan;"30,59";"29,28";"27,4";"27,2";"27,4";"23,3"
Sulawesi Tenggara;"31,44";"29,76";"30,2";"27,7";30;"26,1"
Gorontalo;"34,89";"32,72";29;"23,8";"26,9";"23,8"
Sulawesi Barat;"40,38";"40,44";"33,8";35;"30,3";"35,4"
Maluku;"30,38";"27,94";"28,7";"26,1";"28,4";"28,4"
Maluku Utara;"29,07";"27,23";"27,5";"26,1";"28,4";"23,2"
Papua Barat;"24,58";"28,05";"26,2";30;"24,8";"24,6"
Papua Barat Daya;;;;;31;"30,5"
Papua Tengah;;;;;"39,4";
Papua Pegunungan;;;;;"37,3";
Papua Selatan;;;;;25;"25,7"
Papua;"29,36";"23,42";"29,5";"34,6";"28,6";"24,7"
