Provinsi,Jumlah Stunting
Jawa Barat, 638171
Jawa Tengah, 485759
Jawa Timur, 430661
Sumatra Utara, 316368
Nusa Tenggara Timur, 214084
Banten, 209542
Sulawesi Selatan, 185706
Nusa Tenggara Barat, 153627
Aceh, 145736
Kalimantan Barat, 134328
DKI Jakarta, 128788
Sumatra Barat, 128090
Lampung, 126853
Riau, 119559
Sumatra Selatan, 117872
Kalimantan Selatan, 83610
Kalimantan Timur, 73275
Sulawesi Tengah, 70943
Sulawesi Tenggara, 70513
Jambi, 55484
Kalimantan Tengah, 54907
Maluku, 52275
Sulawesi Barat, 51932
DI Yogyakarta, 42431
Sulawesi Utara, 42035
Papua Selatan, 36859
Bengkulu, 34668
Kepulauan Riau, 29133
Maluku Utara, 29032
Bali, 27961
Papua Barat, 26291
Kepulauan Bangka Belitung, 26196
Gorontalo, 25617
Papua Barat Daya, 17385
Papua, 16463
Kalimantan Utara, 11532
Papua Pegunungan, 0
Papua Tengah, 0
