country,tahun,provinsi,kota_kabupaten,level,"Pivot HDI, LE, Stunting","Pivot HDI, LE, Stunting (Values)"
Indonesia,2013,,,nasional,stunting,37.2
Indonesia,2014,,,nasional,stunting,37.0
Indonesia,2015,,,nasional,stunting,29.0
Indonesia,2016,,,nasional,stunting,27.5
Indonesia,2017,,,nasional,stunting,29.6
Indonesia,2018,,,nasional,stunting,30.8
Indonesia,2019,,,nasional,stunting,27.7
Indonesia,2020,,,nasional,stunting,26.92
Indonesia,2021,,,nasional,stunting,24.4
Indonesia,2022,,,nasional,stunting,21.6
Indonesia,2023,,,nasional,stunting,21.5
Indonesia,2024,,,nasional,stunting,19.8
Indonesia,2013,Aceh,,provinsi,stunting,
Indonesia,2014,Aceh,,provinsi,stunting,
Indonesia,2015,Aceh,,provinsi,stunting,
Indonesia,2016,Aceh,,provinsi,stunting,
Indonesia,2017,Aceh,,provinsi,stunting,
Indonesia,2018,Aceh,,provinsi,stunting,
Indonesia,2019,Aceh,,provinsi,stunting,34.18
Indonesia,2020,Aceh,,provinsi,stunting,33.01
Indonesia,2021,Aceh,,provinsi,stunting,33.2
Indonesia,2022,Aceh,,provinsi,stunting,31.2
Indonesia,2023,Aceh,,provinsi,stunting,29.4
Indonesia,2024,Aceh,,provinsi,stunting,28.6
Indonesia,2013,Bali,,provinsi,stunting,
Indonesia,2014,Bali,,provinsi,stunting,
Indonesia,2015,Bali,,provinsi,stunting,
Indonesia,2016,Bali,,provinsi,stunting,
Indonesia,2017,Bali,,provinsi,stunting,
Indonesia,2018,Bali,,provinsi,stunting,
Indonesia,2019,Bali,,provinsi,stunting,14.42
Indonesia,2020,Bali,,provinsi,stunting,13.68
Indonesia,2021,Bali,,provinsi,stunting,10.9
Indonesia,2022,Bali,,provinsi,stunting,8.0
Indonesia,2023,Bali,,provinsi,stunting,7.2
Indonesia,2024,Bali,,provinsi,stunting,8.7
Indonesia,2013,Banten,,provinsi,stunting,
Indonesia,2014,Banten,,provinsi,stunting,
Indonesia,2015,Banten,,provinsi,stunting,
Indonesia,2016,Banten,,provinsi,stunting,
Indonesia,2017,Banten,,provinsi,stunting,
Indonesia,2018,Banten,,provinsi,stunting,
Indonesia,2019,Banten,,provinsi,stunting,24.11
Indonesia,2020,Banten,,provinsi,stunting,21.84
Indonesia,2021,Banten,,provinsi,stunting,24.5
Indonesia,2022,Banten,,provinsi,stunting,20.0
Indonesia,2023,Banten,,provinsi,stunting,24.0
Indonesia,2024,Banten,,provinsi,stunting,21.1
Indonesia,2013,Bengkulu,,provinsi,stunting,
Indonesia,2014,Bengkulu,,provinsi,stunting,
Indonesia,2015,Bengkulu,,provinsi,stunting,
Indonesia,2016,Bengkulu,,provinsi,stunting,
Indonesia,2017,Bengkulu,,provinsi,stunting,
Indonesia,2018,Bengkulu,,provinsi,stunting,
Indonesia,2019,Bengkulu,,provinsi,stunting,26.86
Indonesia,2020,Bengkulu,,provinsi,stunting,25.43
Indonesia,2021,Bengkulu,,provinsi,stunting,22.1
Indonesia,2022,Bengkulu,,provinsi,stunting,19.8
Indonesia,2023,Bengkulu,,provinsi,stunting,20.2
Indonesia,2024,Bengkulu,,provinsi,stunting,18.8
Indonesia,2013,DI Yogyakarta,,provinsi,stunting,
Indonesia,2014,DI Yogyakarta,,provinsi,stunting,
Indonesia,2015,DI Yogyakarta,,provinsi,stunting,
Indonesia,2016,DI Yogyakarta,,provinsi,stunting,
Indonesia,2017,DI Yogyakarta,,provinsi,stunting,
Indonesia,2018,DI Yogyakarta,,provinsi,stunting,
Indonesia,2019,DI Yogyakarta,,provinsi,stunting,21.04
Indonesia,2020,DI Yogyakarta,,provinsi,stunting,19.88
Indonesia,2021,DI Yogyakarta,,provinsi,stunting,17.3
Indonesia,2022,DI Yogyakarta,,provinsi,stunting,16.4
Indonesia,2023,DI Yogyakarta,,provinsi,stunting,18.0
Indonesia,2024,DI Yogyakarta,,provinsi,stunting,17.4
Indonesia,2013,DKI Jakarta,,provinsi,stunting,
Indonesia,2014,DKI Jakarta,,provinsi,stunting,
Indonesia,2015,DKI Jakarta,,provinsi,stunting,
Indonesia,2016,DKI Jakarta,,provinsi,stunting,
Indonesia,2017,DKI Jakarta,,provinsi,stunting,
Indonesia,2018,DKI Jakarta,,provinsi,stunting,
Indonesia,2019,DKI Jakarta,,provinsi,stunting,19.96
Indonesia,2020,DKI Jakarta,,provinsi,stunting,19.24
Indonesia,2021,DKI Jakarta,,provinsi,stunting,16.8
Indonesia,2022,DKI Jakarta,,provinsi,stunting,14.8
Indonesia,2023,DKI Jakarta,,provinsi,stunting,17.6
Indonesia,2024,DKI Jakarta,,provinsi,stunting,17.3
Indonesia,2013,Gorontalo,,provinsi,stunting,
Indonesia,2014,Gorontalo,,provinsi,stunting,
Indonesia,2015,Gorontalo,,provinsi,stunting,
Indonesia,2016,Gorontalo,,provinsi,stunting,
Indonesia,2017,Gorontalo,,provinsi,stunting,
Indonesia,2018,Gorontalo,,provinsi,stunting,
Indonesia,2019,Gorontalo,,provinsi,stunting,34.89
Indonesia,2020,Gorontalo,,provinsi,stunting,32.72
Indonesia,2021,Gorontalo,,provinsi,stunting,29.0
Indonesia,2022,Gorontalo,,provinsi,stunting,23.8
Indonesia,2023,Gorontalo,,provinsi,stunting,26.9
Indonesia,2024,Gorontalo,,provinsi,stunting,23.8
Indonesia,2013,Jambi,,provinsi,stunting,
Indonesia,2014,Jambi,,provinsi,stunting,
Indonesia,2015,Jambi,,provinsi,stunting,
Indonesia,2016,Jambi,,provinsi,stunting,
Indonesia,2017,Jambi,,provinsi,stunting,
Indonesia,2018,Jambi,,provinsi,stunting,
Indonesia,2019,Jambi,,provinsi,stunting,21.03
Indonesia,2020,Jambi,,provinsi,stunting,19.59
Indonesia,2021,Jambi,,provinsi,stunting,22.4
Indonesia,2022,Jambi,,provinsi,stunting,18.0
Indonesia,2023,Jambi,,provinsi,stunting,13.5
Indonesia,2024,Jambi,,provinsi,stunting,17.1
Indonesia,2013,Jawa Barat,,provinsi,stunting,
Indonesia,2014,Jawa Barat,,provinsi,stunting,
Indonesia,2015,Jawa Barat,,provinsi,stunting,
Indonesia,2016,Jawa Barat,,provinsi,stunting,
Indonesia,2017,Jawa Barat,,provinsi,stunting,
Indonesia,2018,Jawa Barat,,provinsi,stunting,
Indonesia,2019,Jawa Barat,,provinsi,stunting,26.21
Indonesia,2020,Jawa Barat,,provinsi,stunting,25.55
Indonesia,2021,Jawa Barat,,provinsi,stunting,24.5
Indonesia,2022,Jawa Barat,,provinsi,stunting,20.2
Indonesia,2023,Jawa Barat,,provinsi,stunting,21.7
Indonesia,2024,Jawa Barat,,provinsi,stunting,15.9
Indonesia,2013,Jawa Tengah,,provinsi,stunting,
Indonesia,2014,Jawa Tengah,,provinsi,stunting,
Indonesia,2015,Jawa Tengah,,provinsi,stunting,
Indonesia,2016,Jawa Tengah,,provinsi,stunting,
Indonesia,2017,Jawa Tengah,,provinsi,stunting,
Indonesia,2018,Jawa Tengah,,provinsi,stunting,
Indonesia,2019,Jawa Tengah,,provinsi,stunting,27.68
Indonesia,2020,Jawa Tengah,,provinsi,stunting,26.9
Indonesia,2021,Jawa Tengah,,provinsi,stunting,20.9
Indonesia,2022,Jawa Tengah,,provinsi,stunting,20.8
Indonesia,2023,Jawa Tengah,,provinsi,stunting,20.7
Indonesia,2024,Jawa Tengah,,provinsi,stunting,17.1
Indonesia,2013,Jawa Timur,,provinsi,stunting,
Indonesia,2014,Jawa Timur,,provinsi,stunting,
Indonesia,2015,Jawa Timur,,provinsi,stunting,
Indonesia,2016,Jawa Timur,,provinsi,stunting,
Indonesia,2017,Jawa Timur,,provinsi,stunting,
Indonesia,2018,Jawa Timur,,provinsi,stunting,
Indonesia,2019,Jawa Timur,,provinsi,stunting,26.86
Indonesia,2020,Jawa Timur,,provinsi,stunting,25.64
Indonesia,2021,Jawa Timur,,provinsi,stunting,23.5
Indonesia,2022,Jawa Timur,,provinsi,stunting,19.2
Indonesia,2023,Jawa Timur,,provinsi,stunting,17.7
Indonesia,2024,Jawa Timur,,provinsi,stunting,14.7
Indonesia,2013,Kalimantan Barat,,provinsi,stunting,
Indonesia,2014,Kalimantan Barat,,provinsi,stunting,
Indonesia,2015,Kalimantan Barat,,provinsi,stunting,
Indonesia,2016,Kalimantan Barat,,provinsi,stunting,
Indonesia,2017,Kalimantan Barat,,provinsi,stunting,
Indonesia,2018,Kalimantan Barat,,provinsi,stunting,
Indonesia,2019,Kalimantan Barat,,provinsi,stunting,31.46
Indonesia,2020,Kalimantan Barat,,provinsi,stunting,30.9
Indonesia,2021,Kalimantan Barat,,provinsi,stunting,29.8
Indonesia,2022,Kalimantan Barat,,provinsi,stunting,25.2
Indonesia,2023,Kalimantan Barat,,provinsi,stunting,24.5
Indonesia,2024,Kalimantan Barat,,provinsi,stunting,26.8
Indonesia,2013,Kalimantan Selatan,,provinsi,stunting,
Indonesia,2014,Kalimantan Selatan,,provinsi,stunting,
Indonesia,2015,Kalimantan Selatan,,provinsi,stunting,
Indonesia,2016,Kalimantan Selatan,,provinsi,stunting,
Indonesia,2017,Kalimantan Selatan,,provinsi,stunting,
Indonesia,2018,Kalimantan Selatan,,provinsi,stunting,
Indonesia,2019,Kalimantan Selatan,,provinsi,stunting,31.75
Indonesia,2020,Kalimantan Selatan,,provinsi,stunting,30.93
Indonesia,2021,Kalimantan Selatan,,provinsi,stunting,30.0
Indonesia,2022,Kalimantan Selatan,,provinsi,stunting,24.6
Indonesia,2023,Kalimantan Selatan,,provinsi,stunting,24.7
Indonesia,2024,Kalimantan Selatan,,provinsi,stunting,22.9
Indonesia,2013,Kalimantan Tengah,,provinsi,stunting,
Indonesia,2014,Kalimantan Tengah,,provinsi,stunting,
Indonesia,2015,Kalimantan Tengah,,provinsi,stunting,
Indonesia,2016,Kalimantan Tengah,,provinsi,stunting,
