Kota/Kabupaten,Tahun,HDI
Aceh Barat,2013.0,66.86
Aceh Barat,2014.0,67.31
Aceh Barat,2015.0,68.41
Aceh Barat,2016.0,69.26
Aceh Barat,2017.0,70.2
Aceh Barat,2018.0,70.47
Aceh Barat,2019.0,71.22
Aceh Barat,2020.0,71.38
Aceh Barat,2021.0,71.67
Aceh Barat,2022.0,72.34
Aceh Barat,2023.0,72.88
Aceh Barat,2024.0,73.69
Aceh Barat Daya,2013.0,62.62
Aceh Barat Daya,2014.0,63.08
Aceh Barat Daya,2015.0,63.77
Aceh Barat Daya,2016.0,64.57
Aceh Barat Daya,2017.0,65.09
Aceh Barat Daya,2018.0,65.67
Aceh Barat Daya,2019.0,66.56
Aceh Barat Daya,2020.0,66.75
Aceh Barat Daya,2021.0,66.99
Aceh Barat Daya,2022.0,67.41
Aceh Barat Daya,2023.0,68.07
Aceh Barat Daya,2024.0,68.75
Aceh Besar,2013.0,70.61
Aceh Besar,2014.0,71.06
Aceh Besar,2015.0,71.7
Aceh Besar,2016.0,71.75
Aceh Besar,2017.0,72
Aceh Besar,2018.0,72.73
Aceh Besar,2019.0,73.55
Aceh Besar,2020.0,73.56
Aceh Besar,2021.0,73.58
Aceh Besar,2022.0,74
Aceh Besar,2023.0,74.53
Aceh Besar,2024.0,75.13
Aceh Jaya,2013.0,66.92
Aceh Jaya,2014.0,67.3
Aceh Jaya,2015.0,67.53
Aceh Jaya,2016.0,67.7
Aceh Jaya,2017.0,68.07
Aceh Jaya,2018.0,68.83
Aceh Jaya,2019.0,69.74
Aceh Jaya,2020.0,69.75
Aceh Jaya,2021.0,69.84
Aceh Jaya,2022.0,70.36
Aceh Jaya,2023.0,70.88
Aceh Jaya,2024.0,71.83
Aceh Selatan,2013.0,62.27
Aceh Selatan,2014.0,62.35
Aceh Selatan,2015.0,63.28
Aceh Selatan,2016.0,64.13
Aceh Selatan,2017.0,65.03
Aceh Selatan,2018.0,65.92
Aceh Selatan,2019.0,66.9
Aceh Selatan,2020.0,67.12
Aceh Selatan,2021.0,67.44
Aceh Selatan,2022.0,67.87
Aceh Selatan,2023.0,68.44
Aceh Selatan,2024.0,69.1
Aceh Singkil,2013.0,64.87
Aceh Singkil,2014.0,65.27
Aceh Singkil,2015.0,66.05
Aceh Singkil,2016.0,66.96
Aceh Singkil,2017.0,67.37
Aceh Singkil,2018.0,68.02
Aceh Singkil,2019.0,68.91
Aceh Singkil,2020.0,68.94
Aceh Singkil,2021.0,69.22
Aceh Singkil,2022.0,69.62
Aceh Singkil,2023.0,70.14
Aceh Singkil,2024.0,70.75
Aceh Tamiang,2013.0,65.56
Aceh Tamiang,2014.0,66.09
Aceh Tamiang,2015.0,67.03
Aceh Tamiang,2016.0,67.41
Aceh Tamiang,2017.0,67.99
Aceh Tamiang,2018.0,68.45
Aceh Tamiang,2019.0,69.23
Aceh Tamiang,2020.0,69.24
Aceh Tamiang,2021.0,69.48
Aceh Tamiang,2022.0,70.43
Aceh Tamiang,2023.0,71.35
Aceh Tamiang,2024.0,72.32
Aceh Tengah,2013.0,70.51
Aceh Tengah,2014.0,70.96
Aceh Tengah,2015.0,71.51
Aceh Tengah,2016.0,72.04
Aceh Tengah,2017.0,72.19
Aceh Tengah,2018.0,72.64
Aceh Tengah,2019.0,73.14
Aceh Tengah,2020.0,73.24
Aceh Tengah,2021.0,73.37
Aceh Tengah,2022.0,73.95
Aceh Tengah,2023.0,74.6
Aceh Tengah,2024.0,75.41
Aceh Tenggara,2013.0,65.55
Aceh Tenggara,2014.0,65.9
Aceh Tenggara,2015.0,66.77
Aceh Tenggara,2016.0,67.48
Aceh Tenggara,2017.0,68.09
Aceh Tenggara,2018.0,68.67
Aceh Tenggara,2019.0,69.36
Aceh Tenggara,2020.0,69.37
Aceh Tenggara,2021.0,69.44
Aceh Tenggara,2022.0,70.32
Aceh Tenggara,2023.0,71.05
Aceh Tenggara,2024.0,71.7
Aceh Timur,2013.0,63.27
Aceh Timur,2014.0,63.57
Aceh Timur,2015.0,64.55
Aceh Timur,2016.0,65.42
Aceh Timur,2017.0,66.32
Aceh Timur,2018.0,66.82
Aceh Timur,2019.0,67.39
Aceh Timur,2020.0,67.63
Aceh Timur,2021.0,67.83
Aceh Timur,2022.0,68.72
Aceh Timur,2023.0,69.32
Aceh Timur,2024.0,69.87
Aceh Utara,2013.0,65.36
Aceh Utara,2014.0,65.93
Aceh Utara,2015.0,66.85
Aceh Utara,2016.0,67.19
Aceh Utara,2017.0,67.67
Aceh Utara,2018.0,68.36
Aceh Utara,2019.0,69.22
Aceh Utara,2020.0,69.33
Aceh Utara,2021.0,69.46
Aceh Utara,2022.0,70.22
Aceh Utara,2023.0,70.87
Aceh Utara,2024.0,71.7
Agam,2013.0,68.73
Agam,2014.0,69.32
Agam,2015.0,69.84
Agam,2016.0,70.36
Agam,2017.0,71.1
Agam,2018.0,71.7
Agam,2019.0,72.37
Agam,2020.0,72.46
Agam,2021.0,72.57
Agam,2022.0,73.29
Agam,2023.0,73.98
Agam,2024.0,74.66
Alor,2013.0,57.52
Alor,2014.0,58
Alor,2015.0,58.5
Alor,2016.0,58.99
Alor,2017.0,59.61
Alor,2018.0,60.14
Alor,2019.0,61.03
Alor,2020.0,61.33
Alor,2021.0,61.37
Alor,2022.0,62.26
Alor,2023.0,62.99
Alor,2024.0,63.82
Asahan,2013.0,66.58
Asahan,2014.0,67.51
Asahan,2015.0,68.4
Asahan,2016.0,68.71
Asahan,2017.0,69.1
Asahan,2018.0,69.49
Asahan,2019.0,69.92
Asahan,2020.0,70.29
Asahan,2021.0,70.49
Asahan,2022.0,71.13
Asahan,2023.0,71.56
Asahan,2024.0,72.09
Asmat,2013.0,45.54
Asmat,2014.0,45.91
Asmat,2015.0,46.62
Asmat,2016.0,47.31
Asmat,2017.0,48.49
Asmat,2018.0,49.37
Asmat,2019.0,50.37
Asmat,2020.0,50.55
Asmat,2021.0,51.29
Asmat,2022.0,52.22
Asmat,2023.0,53.19
Asmat,2024.0,53.92
Badung,2013.0,77.63
Badung,2014.0,77.98
Badung,2015.0,78.86
Badung,2016.0,79.8
Badung,2017.0,80.54
Badung,2018.0,80.87
Badung,2019.0,81.59
Badung,2020.0,81.6
Badung,2021.0,81.83
Badung,2022.0,82.13
Badung,2023.0,83.08
Badung,2024.0,83.87
Balangan,2013.0,64.03
Balangan,2014.0,64.44
Balangan,2015.0,65.34
Balangan,2016.0,66.25
Balangan,2017.0,67.25
Balangan,2018.0,67.88
Balangan,2019.0,68.39
Balangan,2020.0,68.82
Balangan,2021.0,69.11
Balangan,2022.0,69.73
Balangan,2023.0,70.49
Balangan,2024.0,71.34
Bandung,2013.0,68.58
Bandung,2014.0,69.06
Bandung,2015.0,70.05
Bandung,2016.0,70.69
Bandung,2017.0,71.02
Bandung,2018.0,71.75
Bandung,2019.0,72.41
Bandung,2020.0,72.39
Bandung,2021.0,72.73
Bandung,2022.0,73.16
Bandung,2023.0,73.74
Bandung,2024.0,74.27
Bandung Barat,2013.0,63.93
Bandung Barat,2014.0,64.27
Bandung Barat,2015.0,65.23
Bandung Barat,2016.0,65.81
Bandung Barat,2017.0,66.63
Bandung Barat,2018.0,67.46
Bandung Barat,2019.0,68.27
Bandung Barat,2020.0,68.08
Bandung Barat,2021.0,68.29
Bandung Barat,2022.0,69.04
Bandung Barat,2023.0,69.61
Bandung Barat,2024.0,70.03
Banggai,2013.0,66.39
Banggai,2014.0,67.11
Banggai,2015.0,67.44
Banggai,2016.0,68.17
Banggai,2017.0,69
Banggai,2018.0,69.85
Banggai,2019.0,70.36
Banggai,2020.0,70.52
Banggai,2021.0,70.6
Banggai,2022.0,71.08
Banggai,2023.0,71.7
Banggai,2024.0,72.32
Banggai Kepulauan,2013.0,61.74
Banggai Kepulauan,2014.0,62.33
Banggai Kepulauan,2015.0,62.97
Banggai Kepulauan,2016.0,63.45
Banggai Kepulauan,2017.0,64.07
Banggai Kepulauan,2018.0,64.68
