Tahun,Provinsi,HDI
2013,Aceh,68.3
2014,Aceh,68.81
2015,Aceh,69.45
2016,Aceh,70
2017,Aceh,70.6
2018,Aceh,71.19
2019,Aceh,71.9
2020,Aceh,71.99
2021,Aceh,72.18
2022,Aceh,72.8
2023,Aceh,73.4
2024,Aceh,74.03
2013,Bali,72.09
2014,Bali,72.48
2015,Bali,73.27
2016,Bali,73.65
2017,Bali,74.3
2018,Bali,74.77
2019,Bali,75.38
2020,Bali,75.5
2021,Bali,75.69
2022,Bali,76.44
2023,Bali,77.1
2024,Bali,77.76
2013,Banten,69.47
2014,Banten,69.89
2015,Banten,70.27
2016,Banten,70.96
2017,Banten,71.42
2018,Banten,71.95
2019,Banten,72.44
2020,Banten,72.45
2021,Banten,72.72
2022,Banten,73.32
2023,Banten,73.87
2024,Banten,74.48
2013,Bengkulu,67.5
2014,Bengkulu,68.06
2015,Bengkulu,68.59
2016,Bengkulu,69.33
2017,Bengkulu,69.95
2018,Bengkulu,70.64
2019,Bengkulu,71.21
2020,Bengkulu,71.4
2021,Bengkulu,71.64
2022,Bengkulu,72.16
2023,Bengkulu,72.78
2024,Bengkulu,73.39
2013,DI Yogyakarta,76.44
2014,DI Yogyakarta,76.81
2015,DI Yogyakarta,77.59
2016,DI Yogyakarta,78.38
2017,DI Yogyakarta,78.89
2018,DI Yogyakarta,79.53
2019,DI Yogyakarta,79.99
2020,DI Yogyakarta,79.97
2021,DI Yogyakarta,80.22
2022,DI Yogyakarta,80.64
2023,DI Yogyakarta,81.07
2024,DI Yogyakarta,81.55
2013,DKI Jakarta,78.08
2014,DKI Jakarta,78.39
2015,DKI Jakarta,78.99
2016,DKI Jakarta,79.6
2017,DKI Jakarta,80.06
2018,DKI Jakarta,80.47
2019,DKI Jakarta,80.76
2020,DKI Jakarta,80.77
2021,DKI Jakarta,81.11
2022,DKI Jakarta,81.65
2023,DKI Jakarta,82.46
2024,DKI Jakarta,83.08
2013,Gorontalo,64.7
2014,Gorontalo,65.17
2015,Gorontalo,65.86
2016,Gorontalo,66.29
2017,Gorontalo,67.01
2018,Gorontalo,67.71
2019,Gorontalo,68.49
2020,Gorontalo,68.68
2021,Gorontalo,69
2022,Gorontalo,69.81
