Kota/Kabupaten,Tahun,Life Expectancy at Birth (Year),Provinsi
Aceh Barat,2013,67.3,Aceh
Aceh Barat,2014,67.33,Aceh
Aceh Barat,2015,67.49,Aceh
Aceh Barat,2016,67.56,Aceh
Aceh Barat,2017,67.62,Aceh
Aceh Barat,2018,67.72,Aceh
Aceh Barat,2019,67.93,Aceh
Aceh Barat,2020,67.98,Aceh
Aceh Barat,2021,67.99,Aceh
Aceh Barat,2022,68.19,Aceh
Aceh Barat,2023,68.34,Aceh
Aceh Barat,2024,68.48,Aceh
Aceh Barat Daya,2013,63.69,Aceh
Aceh Barat Daya,2014,63.72,Aceh
Aceh Barat Daya,2015,64.2,Aceh
Aceh Barat Daya,2016,64.35,Aceh
Aceh Barat Daya,2017,64.51,Aceh
Aceh Barat Daya,2018,64.65,Aceh
Aceh Barat Daya,2019,64.91,Aceh
Aceh Barat Daya,2020,65,Aceh
Aceh Barat Daya,2021,65.06,Aceh
Aceh Barat Daya,2022,65.3,Aceh
Aceh Barat Daya,2023,65.48,Aceh
Aceh Barat Daya,2024,65.65,Aceh
Aceh Besar,2013,69.44,Aceh
Aceh Besar,2014,69.46,Aceh
Aceh Besar,2015,69.47,Aceh
Aceh Besar,2016,69.49,Aceh
Aceh Besar,2017,69.52,Aceh
Aceh Besar,2018,69.59,Aceh
Aceh Besar,2019,69.77,Aceh
Aceh Besar,2020,69.78,Aceh
Aceh Besar,2021,69.79,Aceh
Aceh Besar,2022,69.99,Aceh
Aceh Besar,2023,70.14,Aceh
Aceh Besar,2024,70.29,Aceh
Aceh Jaya,2013,66.45,Aceh
Aceh Jaya,2014,66.48,Aceh
Aceh Jaya,2015,66.63,Aceh
Aceh Jaya,2016,66.7,Aceh
Aceh Jaya,2017,66.77,Aceh
Aceh Jaya,2018,66.88,Aceh
Aceh Jaya,2019,67.11,Aceh
Aceh Jaya,2020,67.16,Aceh
Aceh Jaya,2021,67.19,Aceh
Aceh Jaya,2022,67.4,Aceh
Aceh Jaya,2023,67.55,Aceh
Aceh Jaya,2024,67.69,Aceh
Aceh Selatan,2013,63.16,Aceh
Aceh Selatan,2014,63.18,Aceh
Aceh Selatan,2015,63.61,Aceh
Aceh Selatan,2016,63.75,Aceh
Aceh Selatan,2017,63.89,Aceh
Aceh Selatan,2018,64.02,Aceh
Aceh Selatan,2019,64.27,Aceh
Aceh Selatan,2020,64.35,Aceh
Aceh Selatan,2021,64.4,Aceh
Aceh Selatan,2022,64.64,Aceh
Aceh Selatan,2023,64.81,Aceh
Aceh Selatan,2024,64.97,Aceh
Aceh Singkil,2013,66.91,Aceh
Aceh Singkil,2014,66.94,Aceh
Aceh Singkil,2015,66.97,Aceh
Aceh Singkil,2016,67.02,Aceh
Aceh Singkil,2017,67.07,Aceh
Aceh Singkil,2018,67.16,Aceh
Aceh Singkil,2019,67.36,Aceh
Aceh Singkil,2020,67.39,Aceh
Aceh Singkil,2021,67.43,Aceh
Aceh Singkil,2022,67.65,Aceh
Aceh Singkil,2023,67.78,Aceh
Aceh Singkil,2024,67.89,Aceh
Aceh Tamiang,2013,68.66,Aceh
Aceh Tamiang,2014,68.67,Aceh
Aceh Tamiang,2015,68.99,Aceh
Aceh Tamiang,2016,69.08,Aceh
Aceh Tamiang,2017,69.16,Aceh
Aceh Tamiang,2018,69.28,Aceh
Aceh Tamiang,2019,69.52,Aceh
Aceh Tamiang,2020,69.58,Aceh
Aceh Tamiang,2021,69.63,Aceh
Aceh Tamiang,2022,69.87,Aceh
Aceh Tamiang,2023,70.04,Aceh
Aceh Tamiang,2024,70.21,Aceh
Aceh Tengah,2013,68.35,Aceh
Aceh Tengah,2014,68.38,Aceh
Aceh Tengah,2015,68.44,Aceh
Aceh Tengah,2016,68.48,Aceh
Aceh Tengah,2017,68.53,Aceh
Aceh Tengah,2018,68.62,Aceh
Aceh Tengah,2019,68.82,Aceh
Aceh Tengah,2020,68.85,Aceh
Aceh Tengah,2021,68.86,Aceh
Aceh Tengah,2022,69.05,Aceh
Aceh Tengah,2023,69.18,Aceh
Aceh Tengah,2024,69.3,Aceh
Aceh Tenggara,2013,67.03,Aceh
Aceh Tenggara,2014,67.07,Aceh
Aceh Tenggara,2015,67.4,Aceh
Aceh Tenggara,2016,67.51,Aceh
Aceh Tenggara,2017,67.62,Aceh
Aceh Tenggara,2018,67.77,Aceh
Aceh Tenggara,2019,68.04,Aceh
Aceh Tenggara,2020,68.14,Aceh
Aceh Tenggara,2021,68.22,Aceh
Aceh Tenggara,2022,68.48,Aceh
Aceh Tenggara,2023,68.65,Aceh
Aceh Tenggara,2024,68.78,Aceh
Aceh Timur,2013,68.05,Aceh
Aceh Timur,2014,68.06,Aceh
Aceh Timur,2015,68.2,Aceh
Aceh Timur,2016,68.26,Aceh
Aceh Timur,2017,68.33,Aceh
Aceh Timur,2018,68.44,Aceh
Aceh Timur,2019,68.67,Aceh
Aceh Timur,2020,68.72,Aceh
Aceh Timur,2021,68.74,Aceh
Aceh Timur,2022,68.94,Aceh
Aceh Timur,2023,69.07,Aceh
Aceh Timur,2024,69.18,Aceh
Aceh Utara,2013,68.41,Aceh
Aceh Utara,2014,68.42,Aceh
Aceh Utara,2015,68.48,Aceh
Aceh Utara,2016,68.51,Aceh
Aceh Utara,2017,68.54,Aceh
Aceh Utara,2018,68.61,Aceh
Aceh Utara,2019,68.79,Aceh
Aceh Utara,2020,68.8,Aceh
Aceh Utara,2021,68.81,Aceh
Aceh Utara,2022,69.01,Aceh
Aceh Utara,2023,69.15,Aceh
Aceh Utara,2024,69.28,Aceh
Bener Meriah,2013,68.62,Aceh
Bener Meriah,2014,68.64,Aceh
Bener Meriah,2015,68.79,Aceh
Bener Meriah,2016,68.85,Aceh
Bener Meriah,2017,68.9,Aceh
Bener Meriah,2018,68.99,Aceh
Bener Meriah,2019,69.19,Aceh
Bener Meriah,2020,69.22,Aceh
Bener Meriah,2021,69.26,Aceh
Bener Meriah,2022,69.48,Aceh
Bener Meriah,2023,69.64,Aceh
Bener Meriah,2024,69.79,Aceh
Bireuen,2013,70.34,Aceh
Bireuen,2014,70.35,Aceh
Bireuen,2015,70.64,Aceh
Bireuen,2016,70.72,Aceh
Bireuen,2017,70.8,Aceh
Bireuen,2018,70.92,Aceh
Bireuen,2019,71.16,Aceh
Bireuen,2020,71.22,Aceh
Bireuen,2021,71.26,Aceh
Bireuen,2022,71.48,Aceh
Bireuen,2023,71.66,Aceh
Bireuen,2024,71.83,Aceh
Gayo Lues,2013,64.42,Aceh
Gayo Lues,2014,64.44,Aceh
Gayo Lues,2015,64.77,Aceh
Gayo Lues,2016,64.88,Aceh
Gayo Lues,2017,64.98,Aceh
Gayo Lues,2018,65.12,Aceh
Gayo Lues,2019,65.38,Aceh
Gayo Lues,2020,65.47,Aceh
Gayo Lues,2021,65.53,Aceh
Gayo Lues,2022,65.77,Aceh
Gayo Lues,2023,65.92,Aceh
Gayo Lues,2024,66.03,Aceh
Kota Banda Aceh,2013,70.79,Aceh
Kota Banda Aceh,2014,70.8,Aceh
Kota Banda Aceh,2015,70.89,Aceh
Kota Banda Aceh,2016,70.92,Aceh
Kota Banda Aceh,2017,70.96,Aceh
Kota Banda Aceh,2018,71.1,Aceh
Kota Banda Aceh,2019,71.36,Aceh
Kota Banda Aceh,2020,71.45,Aceh
Kota Banda Aceh,2021,71.52,Aceh
Kota Banda Aceh,2022,71.79,Aceh
Kota Banda Aceh,2023,72.02,Aceh
Kota Banda Aceh,2024,72.17,Aceh
Kota Langsa,2013,68.78,Aceh
Kota Langsa,2014,68.79,Aceh
Kota Langsa,2015,68.94,Aceh
Kota Langsa,2016,69,Aceh
Kota Langsa,2017,69.06,Aceh
