country,tahun,provinsi,kota_kabupaten,stunting,life_expectancy,hdi,level
Indonesia,2013,,,37.2,70.4,68.31,nasional
Indonesia,2014,,,37.0,70.59,68.9,nasional
Indonesia,2015,,,29.0,70.78,69.55,nasional
Indonesia,2016,,,27.5,70.9,70.18,nasional
Indonesia,2017,,,29.6,71.06,70.81,nasional
Indonesia,2018,,,30.8,71.2,71.39,nasional
Indonesia,2019,,,27.7,71.34,71.92,nasional
Indonesia,2020,,,26.92,71.47,71.94,nasional
Indonesia,2021,,,24.4,71.57,72.29,nasional
Indonesia,2022,,,21.6,71.85,72.91,nasional
Indonesia,2023,,,21.5,72.13,73.55,nasional
Indonesia,2024,,,19.8,72.39,74.2,nasional
Indonesia,2013,Aceh,,,69.31,68.3,provinsi
Indonesia,2014,Aceh,,,69.35,68.81,provinsi
Indonesia,2015,Aceh,,,69.5,69.45,provinsi
Indonesia,2016,Aceh,,,69.51,70,provinsi
Indonesia,2017,Aceh,,,69.52,70.6,provinsi
Indonesia,2018,Aceh,,,69.64,71.19,provinsi
Indonesia,2019,Aceh,,"34,18",69.87,71.9,provinsi
Indonesia,2020,Aceh,,"33,01",69.93,71.99,provinsi
Indonesia,2021,Aceh,,"33,2",69.96,72.18,provinsi
Indonesia,2022,Aceh,,"31,2",70.18,72.8,provinsi
Indonesia,2023,Aceh,,"29,4",70.34,73.4,provinsi
Indonesia,2024,Aceh,,"28,6",70.44,74.03,provinsi
Indonesia,2013,Bali,,,71.11,72.09,provinsi
Indonesia,2014,Bali,,,71.19,72.48,provinsi
Indonesia,2015,Bali,,,71.35,73.27,provinsi
Indonesia,2016,Bali,,,71.41,73.65,provinsi
Indonesia,2017,Bali,,,71.46,74.3,provinsi
Indonesia,2018,Bali,,,71.68,74.77,provinsi
Indonesia,2019,Bali,,"14,42",71.99,75.38,provinsi
Indonesia,2020,Bali,,"13,68",72.13,75.5,provinsi
Indonesia,2021,Bali,,"10,9",72.24,75.69,provinsi
Indonesia,2022,Bali,,8,72.6,76.44,provinsi
Indonesia,2023,Bali,,"7,2",72.98,77.1,provinsi
Indonesia,2024,Bali,,"8,7",73.29,77.76,provinsi
Indonesia,2013,Banten,,,69.04,69.47,provinsi
Indonesia,2014,Banten,,,69.13,69.89,provinsi
Indonesia,2015,Banten,,,69.43,70.27,provinsi
Indonesia,2016,Banten,,,69.46,70.96,provinsi
Indonesia,2017,Banten,,,69.49,71.42,provinsi
Indonesia,2018,Banten,,,69.64,71.95,provinsi
Indonesia,2019,Banten,,"24,11",69.84,72.44,provinsi
Indonesia,2020,Banten,,"21,84",69.96,72.45,provinsi
Indonesia,2021,Banten,,"24,5",70.02,72.72,provinsi
Indonesia,2022,Banten,,20,70.39,73.32,provinsi
Indonesia,2023,Banten,,24,70.77,73.87,provinsi
Indonesia,2024,Banten,,"21,1",71.02,74.48,provinsi
Indonesia,2013,Bengkulu,,,68.33,67.5,provinsi
Indonesia,2014,Bengkulu,,,68.36,68.06,provinsi
Indonesia,2015,Bengkulu,,,68.5,68.59,provinsi
Indonesia,2016,Bengkulu,,,68.56,69.33,provinsi
Indonesia,2017,Bengkulu,,,68.59,69.95,provinsi
Indonesia,2018,Bengkulu,,,68.84,70.64,provinsi
Indonesia,2019,Bengkulu,,"26,86",69.21,71.21,provinsi
Indonesia,2020,Bengkulu,,"25,43",69.35,71.4,provinsi
Indonesia,2021,Bengkulu,,"22,1",69.42,71.64,provinsi
Indonesia,2022,Bengkulu,,"19,8",69.69,72.16,provinsi
Indonesia,2023,Bengkulu,,"20,2",69.92,72.78,provinsi
Indonesia,2024,Bengkulu,,"18,8",70.13,73.39,provinsi
Indonesia,2013,DI Yogyakarta,,,74.45,76.44,provinsi
Indonesia,2014,DI Yogyakarta,,,74.5,76.81,provinsi
Indonesia,2015,DI Yogyakarta,,,74.68,77.59,provinsi
Indonesia,2016,DI Yogyakarta,,,74.71,78.38,provinsi
Indonesia,2017,DI Yogyakarta,,,74.74,78.89,provinsi
Indonesia,2018,DI Yogyakarta,,,74.82,79.53,provinsi
Indonesia,2019,DI Yogyakarta,,"21,04",74.92,79.99,provinsi
Indonesia,2020,DI Yogyakarta,,"19,88",74.99,79.97,provinsi
Indonesia,2021,DI Yogyakarta,,"17,3",75.04,80.22,provinsi
Indonesia,2022,DI Yogyakarta,,"16,4",75.08,80.64,provinsi
Indonesia,2023,DI Yogyakarta,,18,75.12,81.07,provinsi
Indonesia,2024,DI Yogyakarta,,"17,4",75.22,81.55,provinsi
Indonesia,2013,DKI Jakarta,,,72.19,78.08,provinsi
Indonesia,2014,DKI Jakarta,,,72.27,78.39,provinsi
Indonesia,2015,DKI Jakarta,,,72.43,78.99,provinsi
Indonesia,2016,DKI Jakarta,,,72.49,79.6,provinsi
Indonesia,2017,DKI Jakarta,,,72.55,80.06,provinsi
Indonesia,2018,DKI Jakarta,,,72.67,80.47,provinsi
Indonesia,2019,DKI Jakarta,,"19,96",72.79,80.76,provinsi
Indonesia,2020,DKI Jakarta,,"19,24",72.91,80.77,provinsi
Indonesia,2021,DKI Jakarta,,"16,8",73.01,81.11,provinsi
Indonesia,2022,DKI Jakarta,,"14,8",73.32,81.65,provinsi
Indonesia,2023,DKI Jakarta,,"17,6",73.65,82.46,provinsi
Indonesia,2024,DKI Jakarta,,"17,3",73.87,83.08,provinsi
Indonesia,2013,Gorontalo,,,66.92,64.7,provinsi
Indonesia,2013,Gorontalo,,,66.51,64.7,provinsi
Indonesia,2014,Gorontalo,,,67,65.17,provinsi
Indonesia,2014,Gorontalo,,,66.53,65.17,provinsi
Indonesia,2015,Gorontalo,,,67.12,65.86,provinsi
Indonesia,2015,Gorontalo,,,66.63,65.86,provinsi
Indonesia,2016,Gorontalo,,,67.13,66.29,provinsi
Indonesia,2016,Gorontalo,,,66.66,66.29,provinsi
Indonesia,2017,Gorontalo,,,67.14,67.01,provinsi
Indonesia,2017,Gorontalo,,,66.69,67.01,provinsi
Indonesia,2018,Gorontalo,,,67.45,67.71,provinsi
Indonesia,2018,Gorontalo,,,66.98,67.71,provinsi
Indonesia,2019,Gorontalo,,"34,89",67.93,68.49,provinsi
Indonesia,2019,Gorontalo,,"34,89",67.45,68.49,provinsi
Indonesia,2020,Gorontalo,,"32,72",68.07,68.68,provinsi
Indonesia,2020,Gorontalo,,"32,72",67.58,68.68,provinsi
Indonesia,2021,Gorontalo,,29,68.19,69,provinsi
Indonesia,2021,Gorontalo,,29,67.69,69,provinsi
Indonesia,2022,Gorontalo,,"23,8",68.51,69.81,provinsi
Indonesia,2022,Gorontalo,,"23,8",67.89,69.81,provinsi
Indonesia,2023,Gorontalo,,"26,9",68.83,70.45,provinsi
Indonesia,2023,Gorontalo,,"26,9",68.09,70.45,provinsi
Indonesia,2024,Gorontalo,,"23,8",69.09,71.23,provinsi
Indonesia,2024,Gorontalo,,"23,8",68.23,71.23,provinsi
Indonesia,2013,Jambi,,,70.35,67.76,provinsi
Indonesia,2014,Jambi,,,70.43,68.24,provinsi
Indonesia,2015,Jambi,,,70.56,68.89,provinsi
Indonesia,2016,Jambi,,,70.71,69.62,provinsi
Indonesia,2017,Jambi,,,70.76,69.99,provinsi
Indonesia,2018,Jambi,,,70.89,70.65,provinsi
Indonesia,2019,Jambi,,"21,03",71.06,71.26,provinsi
Indonesia,2020,Jambi,,"19,59",71.16,71.29,provinsi
Indonesia,2021,Jambi,,"22,4",71.22,71.63,provinsi
Indonesia,2022,Jambi,,18,71.5,72.14,provinsi
Indonesia,2023,Jambi,,"13,5",71.77,72.77,provinsi
Indonesia,2024,Jambi,,"17,1",72.04,73.43,provinsi
Indonesia,2013,Jawa Barat,,,72.09,68.25,provinsi
Indonesia,2014,Jawa Barat,,,72.23,68.8,provinsi
Indonesia,2015,Jawa Barat,,,72.41,69.5,provinsi
Indonesia,2016,Jawa Barat,,,72.44,70.05,provinsi
Indonesia,2017,Jawa Barat,,,72.47,70.69,provinsi
Indonesia,2018,Jawa Barat,,,72.66,71.3,provinsi
Indonesia,2019,Jawa Barat,,"26,21",72.85,72.03,provinsi
Indonesia,2020,Jawa Barat,,"25,55",73.04,72.09,provinsi
Indonesia,2021,Jawa Barat,,"24,5",73.23,72.45,provinsi
Indonesia,2022,Jawa Barat,,"20,2",73.52,73.12,provinsi
Indonesia,2023,Jawa Barat,,"21,7",73.8,73.74,provinsi
Indonesia,2024,Jawa Barat,,"15,9",74.07,74.43,provinsi
Indonesia,2013,Jawa Tengah,,,73.28,68.02,provinsi
Indonesia,2014,Jawa Tengah,,,73.88,68.78,provinsi
Indonesia,2015,Jawa Tengah,,,73.96,69.49,provinsi
Indonesia,2016,Jawa Tengah,,,74.02,69.98,provinsi
Indonesia,2017,Jawa Tengah,,,74.08,70.52,provinsi
Indonesia,2018,Jawa Tengah,,,74.18,71.12,provinsi
Indonesia,2019,Jawa Tengah,,"27,68",74.23,71.73,provinsi
Indonesia,2020,Jawa Tengah,,"26,9",74.37,71.87,provinsi
Indonesia,2021,Jawa Tengah,,"20,9",74.47,72.16,provinsi
Indonesia,2022,Jawa Tengah,,"20,8",74.57,72.79,provinsi
Indonesia,2023,Jawa Tengah,,"20,7",74.69,73.39,provinsi
Indonesia,2024,Jawa Tengah,,"17,1",74.93,73.88,provinsi
Indonesia,2013,Jawa Timur,,,70.34,67.55,provinsi
Indonesia,2014,Jawa Timur,,,70.45,68.14,provinsi
Indonesia,2015,Jawa Timur,,,70.68,68.95,provinsi
Indonesia,2016,Jawa Timur,,,70.74,69.74,provinsi
Indonesia,2017,Jawa Timur,,,70.8,70.27,provinsi
Indonesia,2018,Jawa Timur,,,70.97,70.77,provinsi
Indonesia,2019,Jawa Timur,,"26,86",71.18,71.5,provinsi
Indonesia,2020,Jawa Timur,,"25,64",71.3,71.71,provinsi
Indonesia,2021,Jawa Timur,,"23,5",71.38,72.14,provinsi
Indonesia,2022,Jawa Timur,,"19,2",71.74,72.75,provinsi
Indonesia,2023,Jawa Timur,,"17,7",72.11,73.38,provinsi
Indonesia,2024,Jawa Timur,,"14,7",72.35,74.09,provinsi
Indonesia,2013,Kalimantan Barat,,,69.66,64.3,provinsi
Indonesia,2014,Kalimantan Barat,,,69.76,64.89,provinsi
Indonesia,2015,Kalimantan Barat,,,69.87,65.59,provinsi
Indonesia,2016,Kalimantan Barat,,,69.9,65.88,provinsi
Indonesia,2017,Kalimantan Barat,,,69.92,66.26,provinsi
Indonesia,2018,Kalimantan Barat,,,70.18,66.98,provinsi
Indonesia,2019,Kalimantan Barat,,"31,46",70.56,67.65,provinsi
Indonesia,2020,Kalimantan Barat,,"30,9",70.69,67.66,provinsi
Indonesia,2021,Kalimantan Barat,,"29,8",70.76,67.9,provinsi
Indonesia,2022,Kalimantan Barat,,"25,2",71.02,68.63,provinsi
Indonesia,2023,Kalimantan Barat,,"24,5",71.32,69.41,provinsi
Indonesia,2024,Kalimantan Barat,,"26,8",71.55,70.13,provinsi
Indonesia,2013,Kalimantan Selatan,,,67.35,67.17,provinsi
Indonesia,2014,Kalimantan Selatan,,,67.47,67.63,provinsi
Indonesia,2015,Kalimantan Selatan,,,67.8,68.38,provinsi
Indonesia,2016,Kalimantan Selatan,,,67.92,69.05,provinsi
Indonesia,2017,Kalimantan Selatan,,,68.02,69.65,provinsi
Indonesia,2018,Kalimantan Selatan,,,68.23,70.17,provinsi
Indonesia,2019,Kalimantan Selatan,,"31,75",68.49,70.72,provinsi
Indonesia,2020,Kalimantan Selatan,,"30,93",68.66,70.91,provinsi
Indonesia,2021,Kalimantan Selatan,,30,68.83,71.28,provinsi
Indonesia,2022,Kalimantan Selatan,,"24,6",69.13,71.84,provinsi
Indonesia,2023,Kalimantan Selatan,,"24,7",69.42,72.5,provinsi
Indonesia,2024,Kalimantan Selatan,,"22,9",69.65,73.03,provinsi
Indonesia,2013,Kalimantan Tengah,,,69.29,67.41,provinsi
Indonesia,2014,Kalimantan Tengah,,,69.39,67.77,provinsi
Indonesia,2015,Kalimantan Tengah,,,69.54,68.53,provinsi
Indonesia,2016,Kalimantan Tengah,,,69.57,69.13,provinsi
Indonesia,2017,Kalimantan Tengah,,,69.59,69.79,provinsi
Indonesia,2018,Kalimantan Tengah,,,69.64,70.42,provinsi
Indonesia,2019,Kalimantan Tengah,,"32,3",69.69,70.91,provinsi
Indonesia,2020,Kalimantan Tengah,,"30,48",69.74,71.05,provinsi
Indonesia,2021,Kalimantan Tengah,,"27,4",69.79,71.25,provinsi
Indonesia,2022,Kalimantan Tengah,,"26,9",70.04,71.63,provinsi
Indonesia,2023,Kalimantan Tengah,,"23,5",70.27,72.2,provinsi
Indonesia,2024,Kalimantan Tengah,,"22,1",70.43,72.73,provinsi
Indonesia,2013,Kalimantan Timur,,,73.52,73.21,provinsi
Indonesia,2014,Kalimantan Timur,,,73.62,73.82,provinsi
Indonesia,2015,Kalimantan Timur,,,73.65,74.17,provinsi
Indonesia,2016,Kalimantan Timur,,,73.68,74.59,provinsi
Indonesia,2017,Kalimantan Timur,,,73.7,75.12,provinsi
Indonesia,2018,Kalimantan Timur,,,73.96,75.83,provinsi
Indonesia,2019,Kalimantan Timur,,"28,09",74.22,76.61,provinsi
Indonesia,2020,Kalimantan Timur,,"27,49",74.33,76.24,provinsi
Indonesia,2021,Kalimantan Timur,,"22,8",74.61,76.88,provinsi
Indonesia,2022,Kalimantan Timur,,"23,9",74.62,77.44,provinsi
Indonesia,2023,Kalimantan Timur,,"22,9",74.72,78.2,provinsi
Indonesia,2024,Kalimantan Timur,,"22,2",75.03,78.83,provinsi
Indonesia,2013,Kalimantan Utara,,,72.02,67.99,provinsi
Indonesia,2014,Kalimantan Utara,,,72.12,68.64,provinsi
Indonesia,2015,Kalimantan Utara,,,72.16,68.76,provinsi
Indonesia,2016,Kalimantan Utara,,,72.43,69.2,provinsi
Indonesia,2017,Kalimantan Utara,,,72.47,69.84,provinsi
Indonesia,2018,Kalimantan Utara,,,72.5,70.56,provinsi
Indonesia,2019,Kalimantan Utara,,"26,25",72.54,71.15,provinsi
Indonesia,2020,Kalimantan Utara,,"25,76",72.59,70.63,provinsi
Indonesia,2021,Kalimantan Utara,,"27,5",72.65,71.19,provinsi
Indonesia,2022,Kalimantan Utara,,"22,1",72.67,71.83,provinsi
Indonesia,2023,Kalimantan Utara,,"21,3",72.69,72.49,provinsi
