year,stunting,life_expectancy,hdi,level,status,life_expectancy_low,life_expectancy_high,hdi_low,hdi_high
2013,37.2,70.4,68.31,nasional,actual,,,,
2014,37.0,70.59,68.9,nasional,actual,,,,
2015,29.0,70.78,69.55,nasional,actual,,,,
2016,27.5,70.9,70.18,nasional,actual,,,,
2017,29.6,71.06,70.81,nasional,actual,,,,
2018,30.8,71.2,71.39,nasional,actual,,,,
2019,27.7,71.34,71.92,nasional,actual,,,,
2020,26.92,71.47,71.94,nasional,actual,,,,
2021,24.4,71.57,72.29,nasional,actual,,,,
2022,21.6,71.85,72.91,nasional,actual,,,,
2023,21.5,72.13,73.55,nasional,actual,,,,
2024,19.8,72.39,74.2,nasional,actual,,,,
2025,19.8,72.11425655627498,73.73039122527584,nasional,projection,71.68527066056039,72.54324245198957,73.19482398713238,74.2659584634193
2026,18.4,72.25644383509935,74.15315974953319,nasional,projection,71.82745793938476,72.68542973081394,73.61759251138973,74.68872698767665
2027,17.0,72.3986311139237,74.57592827379051,nasional,projection,71.96964521820911,72.82761700963829,74.04036103564705,75.11149551193397
2028,15.6,72.54081839274805,74.99869679804783,nasional,projection,72.11183249703346,72.96980428846264,74.46312955990437,75.53426403619129
2029,14.2,72.6830056715724,75.42146532230518,nasional,projection,72.25401977585781,73.11199156728699,74.88589808416172,75.95703256044864
