tahun;provinsi;stunting_prevalence;life_expectancy_at_birth;hdi
2013;Aceh;;69.31;68.3
2014;Aceh;;69.35;68.81
2015;Aceh;;69.5;69.45
2016;Aceh;;69.51;70
2017;Aceh;;69.52;70.6
2018;Aceh;;69.64;71.19
2019;Aceh;34,18;69.87;71.9
2020;Aceh;33,01;69.93;71.99
2021;Aceh;33,2;69.96;72.18
2022;Aceh;31,2;70.18;72.8
2023;Aceh;29,4;70.34;73.4
2024;Aceh;28,6;70.44;74.03
2013;Bali;;71.11;72.09
2014;Bali;;71.19;72.48
2015;Bali;;71.35;73.27
2016;Bali;;71.41;73.65
2017;Bali;;71.46;74.3
2018;Bali;;71.68;74.77
2019;Bali;14,42;71.99;75.38
2020;Bali;13,68;72.13;75.5
2021;Bali;10,9;72.24;75.69
2022;Bali;8;72.6;76.44
2023;Bali;7,2;72.98;77.1
2024;Bali;8,7;73.29;77.76
2013;Banten;;69.04;69.47
2014;Banten;;69.13;69.89
2015;Banten;;69.43;70.27
2016;Banten;;69.46;70.96
2017;Banten;;69.49;71.42
2018;Banten;;69.64;71.95
2019;Banten;24,11;69.84;72.44
2020;Banten;21,84;69.96;72.45
2021;Banten;24,5;70.02;72.72
2022;Banten;20;70.39;73.32
2023;Banten;24;70.77;73.87
2024;Banten;21,1;71.02;74.48
2013;Bengkulu;;68.33;67.5
2014;Bengkulu;;68.36;68.06
2015;Bengkulu;;68.5;68.59
2016;Bengkulu;;68.56;69.33
2017;Bengkulu;;68.59;69.95
2018;Bengkulu;;68.84;70.64
2019;Bengkulu;26,86;69.21;71.21
2020;Bengkulu;25,43;69.35;71.4
2021;Bengkulu;22,1;69.42;71.64
2022;Bengkulu;19,8;69.69;72.16
2023;Bengkulu;20,2;69.92;72.78
2024;Bengkulu;18,8;70.13;73.39
2013;DI Yogyakarta;;74.45;76.44
2014;DI Yogyakarta;;74.5;76.81
2015;DI Yogyakarta;;74.68;77.59
2016;DI Yogyakarta;;74.71;78.38
2017;DI Yogyakarta;;74.74;78.89
2018;DI Yogyakarta;;74.82;79.53
2019;DI Yogyakarta;21,04;74.92;79.99
2020;DI Yogyakarta;19,88;74.99;79.97
2021;DI Yogyakarta;17,3;75.04;80.22
2022;DI Yogyakarta;16,4;75.08;80.64
2023;DI Yogyakarta;18;75.12;81.07
2024;DI Yogyakarta;17,4;75.22;81.55
2013;DKI Jakarta;;72.19;78.08
2014;DKI Jakarta;;72.27;78.39
2015;DKI Jakarta;;72.43;78.99
2016;DKI Jakarta;;72.49;79.6
2017;DKI Jakarta;;72.55;80.06
2018;DKI Jakarta;;72.67;80.47
2019;DKI Jakarta;19,96;72.79;80.76
2020;DKI Jakarta;19,24;72.91;80.77
2021;DKI Jakarta;16,8;73.01;81.11
2022;DKI Jakarta;14,8;73.32;81.65
2023;DKI Jakarta;17,6;73.65;82.46
2024;DKI Jakarta;17,3;73.87;83.08
2013;Gorontalo;;66.92;64.7
2014;Gorontalo;;67;65.17
2015;Gorontalo;;67.12;65.86
2016;Gorontalo;;67.13;66.29
2017;Gorontalo;;67.14;67.01
2018;Gorontalo;;67.45;67.71
2019;Gorontalo;34,89;67.93;68.49
2020;Gorontalo;32,72;68.07;68.68
2021;Gorontalo;29;68.19;69
2022;Gorontalo;23,8;68.51;69.81
2023;Gorontalo;26,9;68.83;70.45
2024;Gorontalo;23,8;69.09;71.23
2013;Jambi;;70.35;67.76
2014;Jambi;;70.43;68.24
2015;Jambi;;70.56;68.89
2016;Jambi;;70.71;69.62
2017;Jambi;;70.76;69.99
2018;Jambi;;70.89;70.65
2019;Jambi;21,03;71.06;71.26
2020;Jambi;19,59;71.16;71.29
2021;Jambi;22,4;71.22;71.63
2022;Jambi;18;71.5;72.14
2023;Jambi;13,5;71.77;72.77
2024;Jambi;17,1;72.04;73.43
2013;Jawa Barat;;72.09;68.25
2014;Jawa Barat;;72.23;68.8
