provinsi,prevalensi stunting (%),jumlah stunting
Jawa Barat,15.9,638171
Jawa Tengah,17.1,485759
Jawa Timur,14.7,430661
Sumatera Utara,22.0,316368
Banten,21.1,209542
Sulawesi Selatan,23.3,185706
Nusa Tenggara Timur,37.0,214084
DKI Jakarta,17.3,128788
Nusa Tenggara Barat,29.8,153627
Aceh,28.6,145736
Kalimantan Barat,26.8,134328
Lampung,15.9,126853
Sumatera Barat,24.9,128090
Sumatera Selatan,15.9,117872
Riau,20.1,119559
Kalimantan Selatan,22.9,83610
Kalimantan Timur,22.2,73275
Sulawesi Tengah,26.1,70943
Sulawesi Tenggara,26.1,70513
DI Yogyakarta,17.4,42431
Jambi,17.1,55484
Kalimantan Tengah,22.1,54907
Papua Pegunungan,40.0,0
Sulawesi Utara,20.8,42035
Maluku,28.4,52275
Sulawesi Barat,35.4,51932
Papua Tengah,32.5,0
Bengkulu,18.8,34668
Bali,8.7,27961
Kepulauan Riau,15.0,29133
Maluku Utara,23.2,29032
Kepulauan Bangka Belitung,20.1,26196
Gorontalo,23.8,25617
Papua,24.7,16463
Papua Barat Daya,30.5,17385
Papua Barat,24.6,26291
Papua Selatan,25.8,36859
Kalimantan Utara,17.6,11532
